C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
43,93023,20746861,43622434,61699253,35841952,26531016,60697627,623015,699891,1322931,17323,26170,55107,17285,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
44,90909,27735465,44299019,63158033,32658015,26334036,60716109,673175,709969,1383166,16930,25053,47352,28490,73739,<not counted>,<not counted>,<not counted>,<not counted>,,
45,88888,21771766,44262207,62550738,34081012,26535135,60701478,688581,704290,1392888,17370,25703,52111,27035,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
46,86956,24193769,43039970,61628740,33351363,26544976,60711519,640668,700600,1341281,16778,25072,48795,27929,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
47,85106,20864058,44563562,62801790,35403771,26588261,60754823,683210,700667,1383892,17319,27969,57313,21176,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
48,83333,20828326,43427595,61493262,35605965,26542962,60709536,643125,695563,1338704,17216,26292,54840,19403,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
49,81632,12569249,41800437,61242093,30541357,24052566,60712299,643408,706166,1349586,17451,25034,45873,32325,104348,<not counted>,<not counted>,<not counted>,<not counted>,,
50,80000,19752332,43886708,61747908,36545842,26585378,60751253,649880,703566,1353469,17308,27632,59790,10122,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
51,78431,20382511,43786553,61780450,35672955,26526461,60692986,638516,696108,1334639,16812,26736,55042,18465,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
52,76923,31004028,42699485,61573971,31797168,25929773,60699705,650465,694616,1345093,17478,24847,48203,29970,86281,<not counted>,<not counted>,<not counted>,<not counted>,,
53,75471,20396293,43638944,61955464,35529262,26604520,60770935,637555,706423,1344003,17236,26648,55962,19051,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
54,74074,37246536,42672757,61941876,30816640,22919937,60682512,649922,699944,1349875,17173,25933,47060,30307,125231,<not counted>,<not counted>,<not counted>,<not counted>,,
55,72727,25436957,43992431,62446422,32480555,26622463,60789020,627504,718643,1346165,17009,26337,48998,28905,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
56,71428,7893492,42786884,62554072,29661887,21359481,60730811,643834,715972,1359824,17274,28271,47022,32135,125124,<not counted>,<not counted>,<not counted>,<not counted>,,
