C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
62,64516,1665761,1416318,3082955,2123785,1100287,3224072,23095,19073,42184,4191,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
63,63492,1568535,1351447,2921215,2123784,1142308,3266092,19220,16132,35363,4350,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
64,62500,1610314,1429908,3041388,2123801,1147101,3270902,22172,19507,41691,4315,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
65,61538,1567990,1342222,2911554,2123809,1104730,3228539,19299,15595,34900,4383,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
66,60606,1578436,1365963,2945348,2123784,1124134,3247918,20195,16693,36896,4349,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
67,59701,1564277,1346670,2911958,2123796,1138555,3262351,18741,15489,34237,4347,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
68,58823,1620271,1414375,2967886,2123785,1159057,3282842,19158,17118,36283,4249,27330,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
69,57971,375619,1343627,2902541,2123786,1145091,3268877,19370,16170,35546,4273,6406,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
70,57142,1566549,1343897,2911574,2123798,1153784,3277582,19079,14920,34013,4182,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
71,56338,1560831,1355117,2917056,2123808,1145944,3269752,18799,14767,33573,4206,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
72,55555,1556876,1326944,2884872,2123782,1104477,3228259,18829,15525,34361,4201,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
73,54794,1551301,1339592,2892037,2123796,1142679,3266475,19206,15435,34649,4195,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
74,54054,1625604,1496721,3123449,2123802,1145477,3269279,22044,20767,42823,4328,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
75,53333,1559226,1356784,2917052,2123809,1136246,3260055,19131,15510,34647,4226,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
76,52631,1598342,1379748,2979039,2123783,1105621,3229404,22981,18827,41825,4189,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
77,51948,1563744,1297004,2861862,2123797,1071718,3195515,18352,14207,32569,4145,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
78,51282,1555216,1369939,2926291,2123800,1117455,3241255,19206,16444,35656,4164,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
79,50632,1720232,1535895,3257207,2123785,1142389,3266174,26612,22737,49365,4265,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
80,50000,1549419,1337183,2887784,2123799,1148147,3271946,19115,14917,34033,4136,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
81,49382,1743986,1579308,3324334,2123783,1119257,3243040,23595,21724,45335,4245,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
